
> ankhoptics-temp@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.19.48.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 4.5s
 GET / 200 in 4.7s (compile: 1623ms, render: 3.1s)
⚠ Cross origin request detected from steady-writings-medicare-mariah.trycloudflare.com to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET /shop?category=gorgeous-collection 200 in 25ms (compile: 3ms, render: 21ms)
 GET /api/store/colors-modalities 200 in 21ms (compile: 10ms, render: 11ms)
 GET /api/store/brands 200 in 27ms (compile: 5ms, render: 23ms)
 GET /api/store/products?category=gorgeous-collection&page=1&limit=12 200 in 33ms (compile: 4ms, render: 29ms)
 GET /api/store/colors-modalities 200 in 12ms (compile: 7ms, render: 5ms)
 GET /api/store/brands 200 in 14ms (compile: 3ms, render: 11ms)
 GET /api/store/products?category=gorgeous-collection&page=1&limit=12 200 in 14ms (compile: 3ms, render: 11ms)
 GET /shop?tag=deals 200 in 24ms (compile: 4ms, render: 20ms)
 GET /api/store/products?tag=deals&page=1&limit=12 200 in 19ms (compile: 2ms, render: 17ms)
 GET /contact 404 in 27ms (compile: 5ms, render: 22ms)
 GET /contact 404 in 67ms (compile: 6ms, render: 61ms)
 GET /shop?tag=deals 200 in 134ms (compile: 4ms, render: 130ms)
 GET /api/settings/store 200 in 16ms (compile: 3ms, render: 13ms)
 GET /api/store/colors-modalities 200 in 17ms (compile: 8ms, render: 9ms)
 GET /api/store/brands 200 in 21ms (compile: 4ms, render: 17ms)
 GET /api/auth/session 200 in 48ms (compile: 12ms, render: 36ms)
 GET / 200 in 384ms (compile: 8ms, render: 376ms)
 GET /api/settings/store 200 in 24ms (compile: 5ms, render: 18ms)
 GET /api/store/brands 200 in 47ms (compile: 12ms, render: 35ms)
 GET /api/store/colors-modalities 200 in 36ms (compile: 8ms, render: 28ms)
 GET /api/settings/store 200 in 30ms (compile: 12ms, render: 18ms)
 GET /api/store/products?limit=8 200 in 61ms (compile: 12ms, render: 49ms)
 GET /api/store/brands 200 in 74ms (compile: 35ms, render: 39ms)
 GET /api/store/colors-modalities 200 in 39ms (compile: 13ms, render: 26ms)
 GET /api/auth/session 200 in 93ms (compile: 27ms, render: 66ms)
 GET /api/settings/store 200 in 29ms (compile: 16ms, render: 13ms)
 GET /api/store/brands 200 in 17ms (compile: 5ms, render: 13ms)
 GET /api/settings/store 200 in 18ms (compile: 11ms, render: 6ms)
 GET /api/settings/store 200 in 11ms (compile: 2ms, render: 9ms)
 GET /api/settings/store 200 in 19ms (compile: 3ms, render: 16ms)
 GET /api/auth/session 200 in 60ms (compile: 33ms, render: 27ms)
 GET / 200 in 344ms (compile: 8ms, render: 336ms)
 GET /api/store/brands 200 in 51ms (compile: 4ms, render: 47ms)
 GET /api/store/products?limit=8 200 in 53ms (compile: 13ms, render: 40ms)
 GET /api/settings/store 200 in 28ms (compile: 7ms, render: 21ms)
 GET /api/store/colors-modalities 200 in 30ms (compile: 12ms, render: 18ms)
 GET /api/auth/session 200 in 36ms (compile: 12ms, render: 24ms)
 GET /api/store/brands 200 in 29ms (compile: 5ms, render: 23ms)
 GET /api/settings/store 200 in 35ms (compile: 11ms, render: 25ms)
 GET /api/store/colors-modalities 200 in 36ms (compile: 22ms, render: 14ms)
 GET /api/settings/store 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/store/brands 200 in 121ms (compile: 3ms, render: 119ms)
 GET /api/settings/store 200 in 28ms (compile: 16ms, render: 12ms)
 GET / 200 in 371ms (compile: 4ms, render: 367ms)
 GET /api/settings/store 200 in 14ms (compile: 3ms, render: 11ms)
 GET /api/settings/store 200 in 18ms (compile: 5ms, render: 13ms)
 GET / 200 in 519ms (compile: 38ms, render: 480ms)
 GET / 200 in 302ms (compile: 6ms, render: 296ms)
 GET /api/store/colors-modalities 200 in 37ms (compile: 4ms, render: 33ms)
 GET /api/settings/store 200 in 39ms (compile: 11ms, render: 28ms)
 GET /api/store/colors-modalities 200 in 27ms (compile: 7ms, render: 20ms)
 GET /api/settings/store 200 in 30ms (compile: 9ms, render: 20ms)
 GET /api/settings/store 200 in 50ms (compile: 9ms, render: 40ms)
 GET /api/store/brands 200 in 101ms (compile: 32ms, render: 68ms)
 GET /api/settings/store 200 in 53ms (compile: 21ms, render: 31ms)
 GET /api/settings/store 200 in 55ms (compile: 31ms, render: 25ms)
 GET /api/store/products?limit=8 200 in 125ms (compile: 17ms, render: 107ms)
 GET /api/store/brands 200 in 39ms (compile: 21ms, render: 18ms)
 GET /api/auth/session 200 in 31ms (compile: 16ms, render: 15ms)
 GET /api/settings/store 200 in 14ms (compile: 5ms, render: 9ms)
 GET /api/store/brands 200 in 14ms (compile: 3ms, render: 11ms)
 GET /products/amber-gold-gold-series-magic-eye 200 in 52ms (compile: 12ms, render: 40ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 51ms (compile: 11ms, render: 40ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 17ms (compile: 3ms, render: 14ms)
 GET /products/amber-gold-gold-series-magic-eye 200 in 48ms (compile: 12ms, render: 36ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 29ms (compile: 11ms, render: 18ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 30ms (compile: 5ms, render: 25ms)
 GET /products/amber-gold-gold-series-magic-eye 200 in 145ms (compile: 12ms, render: 133ms)
 GET /api/store/brands 200 in 40ms (compile: 3ms, render: 37ms)
 GET /api/settings/store 200 in 33ms (compile: 3ms, render: 30ms)
 GET /api/store/colors-modalities 200 in 34ms (compile: 17ms, render: 16ms)
